dataset_id,signal_name,time_unit,signal_unit,condition,cell_id,time,signal,replicate,ligand,concentration,inhibitor,experiment,date,slide,position,source_object
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,27,0.8381,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,30.5,1.0506,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,34,1.1337,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,37.5,1.0625,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,41,0.9523,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,44.5,0.8563,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,48,0.8011,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,51.5,0.8157,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,55,0.8568,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,58.5,0.8483,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,62,0.81,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,65.5,0.8244,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,69,0.8351,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,72.5,0.8168,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,76,0.8514,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,79.5,0.8799,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,83,0.8952,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10008,2.5,0.4947,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10008
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10008,6,0.4994,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10008
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10008,9.5,0.4983,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10008
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10008,13,0.4861,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10008
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10008,16.5,0.467,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10008
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10008,20,0.4484,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10008
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10008,23.5,0.4707,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10008
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10008,27,0.5243,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10008
